"Nazwa uczelni","Nazwa kierunku studiów","Podstawowe informacje","Liczba studentów","Udział kobiet wśród studentów","Liczba kobiet wśród studentów","Udział studentów cudzoziemców","Liczba studentów cudzoziemców"
"Akademia Bialska im. Jana Pawła II(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",0,"",0,"",0
"Akademia Bialska im. Jana Pawła II(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",61,"11,5%",7,"34,4%",21
"Akademia Ekonomiczno-Humanistyczna w Warszawie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",616,"11,4%",70,"99,5%",613
"Akademia Ekonomiczno-Humanistyczna w Warszawie(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",314,"17,2%",54,"54,1%",170
"Akademia Finansów i Biznesu Vistula(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",0,"",0,"",0
"Akademia Finansów i Biznesu Vistula(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Akademia Finansów i Biznesu Vistula(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",457,"15,5%",71,"99,8%",456
"Akademia Finansów i Biznesu Vistula(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",302,"15,9%",48,"73,8%",223
"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie(strona rekrutacyjna)",informatyka,"profil studiów: ogólnoakademickie uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",235,"10,2%",24,"0,9%",2
"Akademia Górnośląska im. Wojciecha Korfantego w Katowicach(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Akademia Handlowa Nauk Stosowanych w Radomiu(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",0,"",0,"",0
"Akademia Humanistyczno-Ekonomiczna w Łodzi(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: angielski",0,"",0,"",0
"Akademia Humanistyczno-Ekonomiczna w Łodzi(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: inżynier lub inny równorzędny język kształcenia: polski",36,"19,4%",7,"63,9%",23
"Akademia Humanitas(strona rekrutacyjna)",informatyka,"profil studiów: praktyczne uzyskiwany tytuł: licencjat lub inny równorzędny język kształcenia: polski",2,"0,0%",0,"50,0%",1
